"material","month","value"
"Veg1","1.0","0.0"
"Veg2","1.0","0.0"
"Oil1","1.0","0.0"
"Oil2","1.0","0.0"
"Oil3","1.0","0.0"
"Veg1","2.0","0.0"
"Veg2","2.0","0.0"
"Oil1","2.0","0.0"
"Oil2","2.0","750.0"
"Oil3","2.0","0.0"
"Veg1","3.0","0.0"
"Veg2","3.0","0.0"
"Oil1","3.0","0.0"
"Oil2","3.0","0.0"
"Oil3","3.0","0.0"
"Veg1","4.0","0.0"
"Veg2","4.0","0.0"
"Oil1","4.0","0.0"
"Oil2","4.0","0.0"
"Oil3","4.0","0.0"
"Veg1","5.0","0.0"
"Veg2","5.0","0.0"
"Oil1","5.0","0.0"
"Oil2","5.0","0.0"
"Oil3","5.0","0.0"
"Veg1","6.0","659.3"
"Veg2","6.0","540.7"
"Oil1","6.0","0.0"
"Oil2","6.0","750.0"
"Oil3","6.0","0.0"
